Times,,testuser1,testuser2,testuser3,testuser4,Stestuser5Y,testuser6,testuser7,testuser8,testuser9,testuser10,Par 1,Par 2,Par 3,Average Time,Average (Top 4),Median Time,,,,,,,,,,,
Mushroom Cup,Mario Kart Stadium,1:44.680,1:41.815,1:46.759,1:45.130,1:47.767,1:57.628,1:46.525,1:49.835,1:50.545,1:49.524,1:45.242,1:49.917,,1:48.021,1:44.538,1:47.263,Points for Position,,,,,,,,,,
,Water Park,1:49.193,1:45.137,1:50.815,1:48.964,1:53.582,1:57.398,1:49.717,1:54.423,1:56.981,1:51.995,1:49.258,1:54.546,,1:51.821,1:48.253,1:51.405,13,for 1st,,,,,,,,,
,Sweet Sweet Canyon,1:55.170,1:52.585,1:58.896,1:55.853,2:00.649,2:06.085,1:57.997,2:00.304,2:01.251,1:58.502,1:55.373,2:01.189,,1:58.729,1:55.401,1:58.699,10,for 2nd,,,,,,,,,
,Thwomp Ruins,2:00.086,1:54.857,2:04.443,2:03.962,2:05.149,2:09.279,2:01.439,2:04.627,2:09.457,2:03.922,2:00.250,2:06.017,,2:03.722,2:00.076,2:04.203,8,for 3rd,,,,,,,,,
Flower Cup,Mario Circuit,1:54.617,1:49.960,1:54.836,1:54.267,1:59.339,2:06.291,1:54.656,1:58.686,2:00.120,1:59.459,1:53.424,1:59.854,,1:57.223,1:53.375,1:56.761,7,for 4th,,,,,,,,,
,Toad Harbor,2:13.548,2:09.023,2:16.058,2:17.103,2:16.737,2:25.230,2:19.664,2:21.205,2:24.616,2:21.803,2:18.367,2:21.825,,2:18.499,2:13.842,2:18.384,6,for 5th,,,,,,,,,
,Twisted Mansion,2:04.536,1:59.918,2:05.123,2:06.772,2:07.178,2:11.209,2:09.237,2:14.608,2:13.238,2:08.910,2:05.037,2:10.681,,2:08.073,2:04.087,2:08.044,5,for 6th,,,,,,,,,
,Shy Guy Falls,2:08.082,2:02.973,2:13.661,2:14.073,2:18.517,2:20.413,2:10.887,2:24.637,2:18.109,2:13.825,2:09.368,2:18.717,,2:14.518,2:08.901,2:13.949,4,for 7th,,,,,,,,,
Star Cup,Sunshine Airport,2:10.719,2:03.658,2:13.178,2:09.394,2:15.669,2:16.406,2:12.804,2:21.047,2:18.421,2:13.286,2:11.835,2:16.189,,2:13.458,2:09.144,2:13.232,3,for 8th,,,,,,,,,
,Dolphin Shoals,2:07.864,2:02.345,2:08.413,2:11.847,2:12.009,2:13.247,2:12.187,2:25.038,2:16.832,2:12.764,2:07.530,2:13.621,,2:12.255,2:07.617,2:12.098,2,for 9th,,,,,,,,,
,Electrodrome,2:10.713,2:02.263,2:07.262,2:08.980,2:14.724,2:20.178,2:17.292,2:25.017,2:19.637,2:17.184,2:10.999,2:18.553,,2:14.325,2:07.305,2:15.954,1,for 10th,,,,,,,,,
,Mount Wario,1:54.930,1:47.244,1:55.538,1:54.653,1:58.349,1:59.617,1:57.991,2:13.170,1:59.945,1:53.856,1:55.093,2:00.870,,1:57.529,1:52.671,1:56.765,,,,,,,,,,,
Special Cup,Cloudtop Cruise,2:09.803,2:05.927,2:14.459,2:13.329,2:17.096,2:18.995,2:14.357,2:20.392,2:16.299,2:13.395,2:09.845,2:17.284,,2:14.405,2:10.614,2:14.408,Ranks - Original,JE,LE,CH,MT,SY,MP,JC,KS,VM,JS
,Bone-Dry Dunes,2:04.727,1:55.361,2:10.840,2:08.010,2:08.312,2:10.379,2:08.715,2:13.754,2:13.399,2:05.026,2:03.279,2:09.039,,2:07.852,2:03.281,2:08.514,Position,2,1,6,3,7,10,5,9,8,4
,Wii U Bowser's Castle,2:10.716,2:06.462,2:15.467,2:11.798,2:16.044,2:21.778,2:14.419,2:32.560,2:27.206,2:18.154,2:11.827,2:21.806,,2:17.460,2:10.849,2:15.756,Total Points,429,621,281,337,215,104,289,119,141,298
,Wii U Rainbow Road,2:08.153,2:03.899,2:10.881,2:11.278,2:14.891,2:21.744,2:14.841,2:21.267,2:15.458,2:12.994,2:09.245,2:15.027,,2:13.541,2:08.553,2:13.918,Par 1 Completion,54%,100%,8%,29%,2%,0%,6%,0%,0%,10%
Egg Cup,Yoshi Circuit,1:52.283,1:48.770,1:57.167,1:55.038,2:04.992,2:05.756,1:54.768,2:19.349,2:01.722,1:59.619,1:51.349,2:07.079,,1:59.946,1:52.715,1:58.393,Par 2 Completion,100%,100%,79%,94%,98%,23%,100%,38%,42%,100%
,Excitebike Arena,1:49.878,1:47.503,1:51.739,1:50.301,1:52.635,1:52.925,1:56.711,2:03.986,1:58.018,1:52.543,1:50.657,1:57.173,,1:53.624,1:49.855,1:52.589,Ranks - DLC,JE,LE,CH,MT,SY,MP,JC,KS,VM,JS
,Dragon Driftway,1:57.252,1:45.675,1:56.489,1:55.523,2:00.218,1:59.863,1:59.863,2:13.944,2:05.130,1:56.389,1:51.086,2:03.083,,1:59.035,1:53.519,1:58.558,Position,3,1,5,2,4,9,8,7,6,9
,Mute City,2:00.977,1:57.222,2:03.106,2:02.216,2:07.494,2:05.320,1:58.441,2:18.999,2:07.596,1:58.262,2:03.958,2:09.617,,2:03.963,1:58.726,2:02.661,Total Points,364,624,323,399,352,164,178,220,259,164
